"Date","Site.Name","COUNTY","meanlat","meanlong","month","year","Ozone","PM2.5"
2020-01-05,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,16.6666666666667
2020-01-05,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,34,20
2020-01-06,"Bryson City","Swain",35.434767,-83.442133,1,2020,NA,33
2020-01-06,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,NA,13
2020-01-06,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,NA,25
2020-01-06,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,NA,29.3333333333333
2020-01-06,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,40,NA
2020-01-06,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,30.5,32.25
2020-01-06,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,NA,15.6666666666667
2020-01-06,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,7
2020-01-06,"Linville Falls","Avery",35.972347,-81.933072,1,2020,NA,4
2020-01-06,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,NA,18
2020-01-06,"Millbrook School","Wake",35.856111,-78.574167,1,2020,32,27.75
2020-01-06,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,15.6666666666667
2020-01-06,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,33,28.5
2020-01-07,"Bryson City","Swain",35.434767,-83.442133,1,2020,NA,45
2020-01-07,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,NA,11
2020-01-07,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,NA,40.5
2020-01-07,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,NA,41
2020-01-07,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,37,NA
2020-01-07,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,29,39
2020-01-07,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,NA,26
2020-01-07,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,12.5
2020-01-07,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,NA,30
2020-01-07,"Millbrook School","Wake",35.856111,-78.574167,1,2020,31.5,42
2020-01-07,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,17
2020-01-07,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,30,25
2020-01-08,"Bryson City","Swain",35.434767,-83.442133,1,2020,NA,52
2020-01-08,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,NA,9.5
2020-01-08,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,NA,51.5
2020-01-08,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,NA,37.3333333333333
2020-01-08,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,42,3
2020-01-08,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,24,42
2020-01-08,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,NA,41.25
2020-01-08,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,30.5
2020-01-08,"Linville Falls","Avery",35.972347,-81.933072,1,2020,NA,22
2020-01-08,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,NA,37.5
2020-01-08,"Millbrook School","Wake",35.856111,-78.574167,1,2020,30,44.5
2020-01-08,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,28.6666666666667
2020-01-08,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,38,35
2020-01-09,"Bryson City","Swain",35.434767,-83.442133,1,2020,NA,45.5
2020-01-09,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,NA,15.5
2020-01-09,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,NA,27.3333333333333
2020-01-09,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,NA,28.3333333333333
2020-01-09,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,38,NA
2020-01-09,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,31,19
2020-01-09,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,NA,24.6666666666667
2020-01-09,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,10.5
2020-01-09,"Linville Falls","Avery",35.972347,-81.933072,1,2020,NA,5
